,Estimate,SE,Chi2,df,p,LowerCI,UpperCI,min,max
(Intercept),0.26,0.05,    NA,  NA,   NA,0.16,0.36,0.22,0.28
conditionabsent,-0.05,0.08,    NA,  NA,   NA,-0.2,0.1,-0.07,-0.02
conditionback turned,0.08,0.08,    NA,  NA,   NA,-0.06,0.23,0.06,0.13
conditionlooking away,-0.29,0.08,11.3,3,0.01,-0.45,-0.12,-0.31,-0.22
z.age,0,0.03,-10.27,1,1,-0.05,0.05,0,0.01
z.trial,-0.04,0.03,1.87,1,0.172,-0.09,0.01,-0.05,-0.03
z.session,0.02,0.03,-9.98,1,1,-0.03,0.07,0.01,0.02
